id,visitors
air_00a91d42b08b08d9_2017-04-23,2.0000
air_00a91d42b08b08d9_2017-04-24,24.1927
air_00a91d42b08b08d9_2017-04-25,27.8107
air_00a91d42b08b08d9_2017-04-26,27.6260
air_00a91d42b08b08d9_2017-04-27,31.7909
air_00a91d42b08b08d9_2017-04-28,35.0266
air_00a91d42b08b08d9_2017-04-29,11.0487
air_00a91d42b08b08d9_2017-04-30,2.0000
air_00a91d42b08b08d9_2017-05-01,24.1927
air_00a91d42b08b08d9_2017-05-02,27.8107
air_00a91d42b08b08d9_2017-05-03,27.6260
air_00a91d42b08b08d9_2017-05-04,31.7909
air_00a91d42b08b08d9_2017-05-05,35.0266
air_00a91d42b08b08d9_2017-05-06,11.0487
air_00a91d42b08b08d9_2017-05-07,2.0000
air_00a91d42b08b08d9_2017-05-08,24.1927
air_00a91d42b08b08d9_2017-05-09,27.8107
air_00a91d42b08b08d9_2017-05-10,27.6260
air_00a91d42b08b08d9_2017-05-11,31.7909
air_00a91d42b08b08d9_2017-05-12,35.0266
air_00a91d42b08b08d9_2017-05-13,11.0487
air_00a91d42b08b08d9_2017-05-14,2.0000
air_00a91d42b08b08d9_2017-05-15,24.1927
air_00a91d42b08b08d9_2017-05-16,27.8107
air_00a91d42b08b08d9_2017-05-17,27.6260
air_00a91d42b08b08d9_2017-05-18,31.7909
air_00a91d42b08b08d9_2017-05-19,35.0266
air_00a91d42b08b08d9_2017-05-20,11.0487
air_00a91d42b08b08d9_2017-05-21,2.0000
air_00a91d42b08b08d9_2017-05-22,24.1927
air_00a91d42b08b08d9_2017-05-23,27.8107
air_00a91d42b08b08d9_2017-05-24,27.6260
air_00a91d42b08b08d9_2017-05-25,31.7909
air_00a91d42b08b08d9_2017-05-26,35.0266
air_00a91d42b08b08d9_2017-05-27,11.0487
air_00a91d42b08b08d9_2017-05-28,2.0000
air_00a91d42b08b08d9_2017-05-29,24.1927
air_00a91d42b08b08d9_2017-05-30,27.8107
air_00a91d42b08b08d9_2017-05-31,27.6260
air_0164b9927d20bcc3_2017-04-23,5.5780
air_0164b9927d20bcc3_2017-04-24,5.1167
air_0164b9927d20bcc3_2017-04-25,7.0845
